stopTag,title,lat,lon,stopId
1011370,Fruitvale BART Station,37.7749999,-122.22457,51333
0104460,Broadway & Blanding Av,37.7685899,-122.23422,58677
0100470,Broadway & Tilden Way,37.7674599,-122.2351599,51545
0103200,Santa Clara Av & Broadway,37.7636799,-122.23858,57733
0103340,Santa Clara Av & Park St,37.7652799,-122.24169,55511
9903250,Santa Clara Av & Oak St,37.7661699,-122.2436,51471
9903220,Santa Clara Av & Walnut St,37.7674199,-122.24648,51461
0103430,Santa Clara Av & Willow St,37.7684799,-122.2489,51119
0103230,Santa Clara Av & Chestnut St,37.7697299,-122.25176,55579
0103270,Santa Clara Av & Grand St,37.7715499,-122.25603,56661
0103370,Santa Clara Av & Stanton St,37.7729099,-122.25989,55994
9903260,Santa Clara Av & Morton St,37.7729799,-122.26238,51474
0103190,Santa Clara Av & Bay St,37.7730799,-122.26492,55537
9903280,Santa Clara Av & Mozart St,37.7731999,-122.26886,51476
0103150,Santa Clara Av & 8th St,37.7732999,-122.27259,55995
0104310,Webster St & Santa Clara Av,37.77361,-122.27671,55444
0103830,Webster St & Lincoln Av,37.77549,-122.27664,55549
9903290,Webster St & Buena Vista Av,37.77764,-122.27654,51478
0104600,Webster St & Atlantic Av,37.7801999,-122.27637,59400
0104800,Webster St & Stargell Av,37.78317,-122.27639,50542
1004140,8th St & Harrison St,37.7990599,-122.27055,59222
1004130,8th St & Broadway,37.8001699,-122.27348,54222
9903490,Broadway & 10th St,37.8018,-122.27263,51529
1006350,Broadway & 13th St (12th St BART Station),37.8038499,-122.27134,56789
1006420,Broadway & 17th St (19th St BART Station),37.80651,-122.26971,53335
1006450,Broadway & 20th St (19th St BART Station),37.80932,-122.26794,57111
1006780,Broadway & Grand Ave,37.8118,-122.26638,55771
9903370,Broadway & 26th St,37.8151,-122.26433,51498
1006530,Broadway & 28th St,37.81649,-122.26344,56567
9903380,Broadway & 30th St,37.818853,-122.262038,51502
1006820,Broadway & Piedmont Av,37.82072,-122.2608,59552
9903390,Broadway & Kaiser Hospital Entrance,37.82354,-122.25902,51503
1031610,Broadway & W Macarthur Blvd,37.82492,-122.25817,50147
1006640,Broadway & 40th St,37.8273399,-122.25667,56655
9902170,Broadway & Mather St,37.8315,-122.2541,50986
9903400,Broadway & Pleasant Valley Av,37.83469,-122.25199,51504
1007440,College Av & Broadway,37.83685,-122.25122,53311
1007520,College Av & Manila Av,37.84002,-122.25126,55644
1007500,College Av & Lawton Av,37.84279,-122.25154,56969
1007550,College Av & Rockridge BART Station,37.8445499,-122.25169,51188
1007460,College Av & Chabot Rd,37.8470299,-122.25197,50955
9903410,College Av & Claremont Av,37.85006,-122.25231,51506
9903420,College Av & Alcatraz Av,37.8516199,-122.25236,51507
0301820,College Av & Woolsey St,37.8541599,-122.2527,52323
0301660,College Av & Ashby Av,37.8572899,-122.25299,55955
0301770,College Av & Russell St,37.85881,-122.25314,51199
0301700,College Av & Derby St,37.8620299,-122.25348,59977
0301760,College Av & Parker St,37.86418,-122.25371,57774
0301730,College Av & Haste St,37.86677,-122.25404,52223
0301120,Bancroft Way & College Av,37.8692899,-122.2551299,59555
0301170,Bancroft Way & Telegraph Av,37.8686599,-122.25991,54455
0301130,Bancroft Way & Dana St,37.8684599,-122.2619099,55593
0306530,Bancroft Way & Ellsworth St,37.8681699,-122.2640799,54655
0304970,Shattuck Av & Kittredge St,37.86845,-122.26772,55585
300304840,Shattuck Sq & Center St (Berkeley BART Sta,37.8701899,-122.26773,
