stopTag,title,lat,lon,stopId
9903140,24th St & Mission St,37.7523299,-122.41821,51418
9903150,Mission St & 16th St,37.7655499,-122.41963,51419
1410200,Market St & Gough St,37.77283,-122.42195,50489
1410140,Market St & South Van Ness Av,37.7751599,-122.41908,51656
1410150,Market St & 7th St,37.7798599,-122.4132,52311
1410160,Market St & Powell St,37.7845199,-122.40727,51441
1410170,Market St & 3rd St,37.78766,-122.40336,55409
1410180,Market St & Sutter St,37.7904799,-122.39979,56876
1410300,Beale St & Howard St,37.7896399,-122.39391,50539
1013190,I-80 Fwy & Toll Plaza (East Bound),37.82322,-122.31535,56925
1003440,7th St & Campbell St (United States Post O,37.80631,-122.2999099,59979
1003540,7th St & Peralta St,37.80596,-122.2984699,55407
9901820,7th St & Mandela Pkwy,37.8050299,-122.29383,50896
1003560,7th St & Union St,37.80416,-122.2901799,52050
1003410,7th St & Adeline St,37.80365,-122.2878999,51800
1003460,7th St & Filbert St,37.80306,-122.2851999,53434
1003520,7th St & Market St,37.8026,-122.28246,58850
1030890,7th St & Jefferson St,37.80089,-122.2779999,54833
1007360,Clay St & 11th St,37.80341,-122.27467,52393
1000900,14th St & Clay St,37.80509,-122.2733499,52240
1000870,14th St & Broadway (12th St BART Station),37.8044499,-122.27175,55503
1006420,Broadway & 17th St (19th St BART Station),37.80651,-122.26971,53335
1006440,Broadway & 19th St (19th St BART Station),37.808,-122.26876,51155
1031030,Thomas L Berkley Way (20th St) & Telegraph,37.8095899,-122.26941,57999
1030870,Telegraph Av & 24th St,37.81409,-122.26836,59991
9903810,Telegragh Av & 27th St,37.81653,-122.2677,51634
1020080,Telegraph Av & 31st St,37.82031,-122.26671,57722
1020100,Telegraph Av & 34th St,37.82229,-122.26619,56161
1020120,Telegraph Av & 36th St,37.82437,-122.26563,52774
1020140,Telegraph Av & 38th St,37.82688,-122.26496,55375
1020160,Telegraph Av & 40th St,37.8294899,-122.26421,56665
1020190,Telegraph Av & 43rd St,37.83183,-122.26363,55161
1020220,Telegraph Av & 46th St,37.83357,-122.26315,55258
9904110,Telegraph Av & 49th St,37.83588,-122.26254,51734
1020420,Telegraph Av & Claremont Av,37.83846,-122.26203,56646
1020270,Telegraph Av & 55th St,37.84005,-122.26181,51815
1020370,Telegraph Av & Aileen St,37.84169,-122.26157,55649
1020300,Telegraph Av & 58th St,37.84409,-122.26125,53008
1030980,Telegraph Av & 59th St.,37.84528,-122.26108,55002
1020320,Telegraph Av & 62nd St,37.84786,-122.26072,55136
1030550,Telegraph Av & Alcatraz Av,37.85047,-122.26039,57788
0305560,Telegraph Av & Prince St,37.85362,-122.25994,58220
0305630,Telegraph Av & Webster St,37.85511,-122.25972,51114
0301050,Ashby Av & Telegraph Av,37.8562099,-122.2601399,59300
0300830,Ashby Av & Deakin St,37.8558699,-122.2626199,52336
0301070,Ashby Av & Wheeler St,37.8555899,-122.2648399,56796
0301040,Ashby Av & Shattuck Av,37.8553499,-122.2668299,55016
0300740,Ashby Av & Adeline St (Ashby BART Station),37.8551199,-122.26847,56858
0300390,Adeline St & Oregon St,37.85776,-122.26773,57220
0300430,Adeline St & Ward St,37.85894,-122.26733,59578
0304880,Shattuck Av & Derby St,37.86028,-122.26692,59985
0304980,Shattuck Av & Parker St,37.86209,-122.267,50151
0304910,Shattuck Av & Dwight Way,37.8639099,-122.26722,55452
0304950,Shattuck Av & Haste St,37.8651099,-122.26737,51300
0304900,Shattuck Av & Durant Av,37.8666,-122.26752,52155
0304970,Shattuck Av & Kittredge St,37.86845,-122.26772,55585
0306210,Shattuck Sq & Center St,37.8707599,-122.26766,55551
0306650,University Av & Shattuck Av,37.8721999,-122.2687799,50444
0305980,University Av & Martin Luther King Jr Way,37.8716999,-122.2728699,57557
0305940,University Av & Grant St,37.8714099,-122.2751699,58851
9903620,University Av & California St,37.8707399,-122.2802799,51583
0306040,University Av & Sacramento St,37.8705899,-122.28163,55722
9903580,University Av & Acton St,37.8701799,-122.2846499,51573
0305880,University Av & Bonar St,37.8698399,-122.2874199,57335
0306060,University Av & San Pablo Av,37.8692499,-122.2918399,55365
0304510,San Pablo Av & Delaware St,37.8720299,-122.29294,51001
0304460,San Pablo Av & Cedar St,37.8751099,-122.29395,55165
0304630,San Pablo Av & Page St,37.8777699,-122.29481,52273
0304550,San Pablo Av & Gilman St,37.8808299,-122.29578,55100
0304580,San Pablo Av & Harrison St,37.8826499,-122.29637,52271
0200420,San Pablo Av & Monroe St,37.8848299,-122.29707,55978
0200410,San Pablo Av & Marin Av,37.8864899,-122.2976,55867
0200370,San Pablo Av & Buchanan St,37.8880699,-122.29811,56606
0200450,San Pablo Av & Solano Av,37.8900699,-122.29875,50888
0200740,San Pablo Av & Portland Av,37.8933399,-122.29981,52217
0200350,San Pablo Av & Brighton Av,37.8971399,-122.30102,52117
0501420,San Pablo Av & Carlson Blvd,37.8993499,-122.30187,55562
0501530,San Pablo Av & Lincoln Av,37.9042399,-122.30415,52325
0501470,San Pablo Av & Eureka Av,37.9063799,-122.30516,59967
9901620,San Pablo Ave & Stockton Ave,37.9080399,-122.30621,50835
0501560,San Pablo Av & Moeser Ln,37.9118599,-122.30882,58855
0501590,San Pablo Av & Schmidt Ln,37.9139099,-122.31021,51660
0501550,San Pablo Av & Manila Av,37.9156799,-122.31144,51557
9901630,San Pablo Ave & Carlos Ave,37.9187699,-122.31362,50838
0501570,San Pablo Av & Potrero Av,37.9211999,-122.31533,55117
0500700,Del Norte BART Station,37.9247099,-122.31673,58885
0501620,San Pablo Av & Wall Av,37.9278199,-122.32004,56110
0501440,San Pablo Av & Conlon Av,37.9297899,-122.32143,53372
1302470,Macdonald Av & Wilson Av,37.9325499,-122.32448,52032
1304210,Macdonald Av & 44th St,37.9330299,-122.32803,50502
1304190,Macdonald Av & 42nd St,37.9333499,-122.33025,54311
1302320,Macdonald Av & 37th St,37.9339799,-122.33456,53232
1302300,Macdonald Av & 33rd St,37.9344699,-122.33799,58665
1302280,Macdonald Av & 30th St,37.9347899,-122.34025,52021
1302430,Macdonald Av & Civic Center Plaza,37.9352699,-122.3436,50866
1302250,Macdonald Av & 25th St,37.9355199,-122.34535,59411
1302240,Macdonald Av & 23rd St,37.9358099,-122.34789,54644
1302220,Macdonald Av & 21st St,37.9358199,-122.34945,55118
309903880,Richmond BART,37.9365199,-122.35357,
